Occ,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8689,0.4098,0.2459,0.2459,0.2459,0.2459,0.2459,0.2459,0.2459,0.2951,0.5410,0.8852,0.8852,0.8852,1.0000,1.0000,1.0000
Lights,0.008,0.008,0.008,0.008,0.024,0.05,0.056,0.05,0.022,0.015,0.015,0.015,0.015,0.015,0.026,0.015,0.056,0.078,0.105,0.126,0.128,0.088,0.049,0.02
Clothes Washer,0.009,0.007,0.004,0.004,0.007,0.011,0.022,0.049,0.073,0.086,0.084,0.075,0.067,0.06,0.049,0.052,0.05,0.049,0.049,0.049,0.049,0.047,0.032,0.017
Dish-Washer,0.015,0.007,0.005,0.003,0.003,0.01,0.02,0.031,0.058,0.065,0.056,0.048,0.041,0.046,0.036,0.038,0.038,0.049,0.087,0.111,0.09,0.067,0.044,0.031
Combined DHW,0.006,0.003,0.001,0.001,0.003,0.022,0.075,0.079,0.076,0.067,0.061,0.048,0.042,0.037,0.037,0.033,0.044,0.058,0.069,0.065,0.059,0.048,0.042,0.023
Bath,0.008,0.004,0.004,0.004,0.008,0.019,0.046,0.058,0.066,0.058,0.046,0.035,0.031,0.023,0.023,0.023,0.039,0.046,0.077,0.1,0.1,0.077,0.066,0.039
Shower,0.011,0.005,0.003,0.005,0.014,0.052,0.118,0.117,0.095,0.074,0.06,0.047,0.034,0.029,0.026,0.025,0.03,0.039,0.042,0.042,0.042,0.041,0.029,0.021
Sinks,0.014,0.007,0.005,0.005,0.007,0.018,0.042,0.062,0.066,0.062,0.054,0.05,0.049,0.045,0.043,0.041,0.048,0.065,0.075,0.069,0.057,0.048,0.04,0.027
Fridge,0.04,0.039,0.038,0.037,0.036,0.036,0.038,0.04,0.041,0.041,0.04,0.04,0.042,0.042,0.042,0.041,0.044,0.048,0.05,0.048,0.047,0.046,0.044,0.041
Clothes Dryer,0.01,0.006,0.004,0.002,0.004,0.006,0.016,0.032,0.048,0.068,0.078,0.081,0.074,0.067,0.057,0.061,0.055,0.054,0.051,0.051,0.052,0.054,0.044,0.024
Range,0.007,0.007,0.004,0.004,0.007,0.011,0.025,0.042,0.046,0.048,0.042,0.05,0.057,0.046,0.057,0.044,0.092,0.15,0.117,0.06,0.035,0.025,0.016,0.011
