Date/Time,InteriorLights:Electricity [J](Monthly),InteriorEquipment:Electricity [J](Monthly),Fans:Electricity [J](Monthly),Heating:Electricity [J](Monthly),Cooling:Electricity [J](Monthly),ElectricityNet:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,0.0,3550684.931506854,15735037.379490653,0.0,0.0,20213737.538030156,1774392134.8889616 
January,0.0,3550684.931506854,14002792.076409042,0.0,0.0,18481492.233797708,1557220333.1052709 
July,0.0,70115695.17246942,5383171.642642725,0.0,54054939.81514923,130439012.70092337,5350447.845676846 
July,0.0,70115695.17246942,4604495.841723128,0.0,42266489.83941153,117871698.1319805,5350410.126882658 
January,0.0,3550684.931506854,15737219.075797126,0.0,0.0,20215919.23433824,1774665654.417148 
January,0.0,3550684.931506854,14002790.443871208,0.0,0.0,18481490.60125988,1557220128.4338086 
July,0.0,70115695.17246942,5383171.639677797,0.0,54054939.77313386,130439012.65594311,5350447.845677199 
July,0.0,70115695.17246942,4604495.841699522,0.0,42266489.83907963,117871698.13162501,5350410.126882603 
January,356558074.78712478,1215594809.1427096,280212107.3696866,0.0,0.0,1933976416.5981427,28834781952.4234 
February,322052454.64643278,1097956601.8063124,186726277.64276428,0.0,0.0,1680313798.0832694,17723326459.782979 
March,356558074.78712478,1215594809.1427096,169648355.96159578,0.0,0.0,1823067523.0984627,14972990088.511275 
April,345056201.4068941,1176382073.3639105,105780769.24124784,0.0,0.0,1705703664.710327,7168994855.290677 
May,356558074.78712478,1215594809.1427096,90231109.99193092,0.0,37026602.693004798,1780333707.6399883,4676828413.422449 
June,345056201.4068941,1176382073.3639105,81484389.19713126,0.0,387220157.7717186,2068347858.394756,675363295.8983313 
July,356558074.78712478,1215594809.1427096,123765205.71691555,0.0,1047942468.3642868,2824683212.469492,66633617.883723448 
August,356558074.78712478,1215594809.1427096,106691780.03858726,0.0,780434259.9153644,2540243057.265977,172090035.66847093 
September,345056201.4068941,1176382073.3639105,84224882.53442498,0.0,313875778.1222525,1998089952.4976133,1724788918.8786994 
October,356558074.78712478,1215594809.1427096,93870701.93403201,0.0,1095034.5327686326,1748522629.8230925,5462183044.440954 
November,345056201.4068941,1176382073.3639105,147745500.14766128,0.0,0.0,1748191278.0312603,12430118194.07578 
December,356558074.78712478,1215594809.1427096,228467091.58240126,0.0,0.0,1882414633.8992682,22347102016.515108 
