Date/Time,InteriorLights:Electricity [J](Monthly),InteriorEquipment:Electricity [J](Monthly),Fans:Electricity [J](Monthly),Heating:Electricity [J](Monthly),Cooling:Electricity [J](Monthly),ElectricityNet:Facility [J](Monthly) 
January,0.0,31956164.38356158,14886175.241157186,630940087.021687,0.0,684884015.7511826 
January,0.0,31956164.38356158,14886175.241157186,572744315.1801726,0.0,626688249.2392798 
July,0.0,103805315.74356179,3255966.4299739336,0.0,56736474.33288662,169621174.71286375 
July,0.0,103805315.74356179,2977355.594448737,0.0,47772357.16626308,160378254.93442513 
January,0.0,31956164.38356158,14886175.241157186,631162923.2344972,0.0,685106851.9640204 
January,0.0,31956164.38356158,14886175.241157186,572744148.5206937,0.0,626688082.5797887 
July,0.0,103805315.74356179,3255966.4288747466,0.0,56736474.29008658,169621174.66896469 
July,0.0,103805315.74356179,2977355.5944518477,0.0,47772357.16648065,160378254.9346458 
January,392525124.40407267,5315700039.692044,325300660.7414577,7508200371.904162,0.0,13666924232.934784 
February,354538822.04238906,4801277455.205701,226012453.79157303,4156379288.5290567,3665129.175070502,9654461790.860716 
March,392525124.40407267,5315700039.692044,198750247.77399589,2766366804.9303519,509892.09660734995,8798308232.175663 
April,379863023.6168448,5144225844.863263,95206532.14238322,589758115.5380937,121984569.36605549,6451319325.649036 
May,392525124.40407267,5315700039.692044,99906029.66808219,329260428.5211279,463591471.8534195,6725096045.235531 
June,379863023.6168448,5144225844.863263,91638095.60805853,457580.2032214619,1340511746.1804088,7076697946.551011 
July,392525124.40407267,5315700039.692044,126072296.41111227,0.0,2125712043.9411953,8084021998.978478 
August,392525124.40407267,5315700039.692044,114598095.3259801,0.0,1822927815.8504649,7769905048.726314 
September,379863023.6168448,5144225844.863263,87054658.93631995,8527352.524195368,1028196723.7672552,6768215240.202114 
October,392525124.40407267,5315700039.692044,86016963.41918856,232679949.53787778,196705872.61027614,6348221799.161496 
November,379863023.6168448,5144225844.863263,173885686.66201446,1988492391.949091,5113095.447038467,7812384165.075198 
December,392525124.40407267,5315700039.692044,311820849.96830698,5611275174.324779,0.0,11756305686.847807 
