Date/Time,InteriorLights:Electricity [J](Monthly),InteriorEquipment:Electricity [J](Monthly),Fans:Electricity [J](Monthly),ElectricityNet:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,0.0,31956164.38356158,543683.4624000009,33417847.84596167,0.0 
January,0.0,31956164.38356158,543683.4624000009,33417847.84596167,0.0 
July,0.0,103805315.74356179,543683.4624000009,105225525.41758438,0.0 
July,0.0,103805315.74356179,543683.4624000009,105225336.6864888,0.0 
January,0.0,31956164.38356158,543683.4624000009,33417847.84596167,0.0 
January,0.0,31956164.38356158,543683.4624000009,33417847.84596167,0.0 
July,0.0,103805315.74356179,543683.4624000009,105225525.41758438,0.0 
July,0.0,103805315.74356179,543683.4624000009,105225336.6864888,0.0 
January,0.0,990641095.890461,16854187.334400488,1035648439.3381344,1258322.6113432986 
February,0.0,894772602.739769,15223136.947200455,935194966.7888608,2936083.843629504 
March,0.0,990641095.890461,16854187.334400488,1035193566.4318651,0.0 
April,0.0,958684931.506897,16310503.872000494,1001640056.0771347,0.0 
May,0.0,990641095.890461,16854187.334400488,1034850394.2500341,0.0 
June,0.0,958684931.506897,16310503.872000494,1001360472.0339486,0.0 
July,0.0,990641095.890461,16854187.334400488,1034749937.6832756,0.0 
August,0.0,990641095.890461,16854187.334400488,1034891416.607003,0.0 
September,0.0,958684931.506897,16310503.872000494,1001706452.4489849,0.0 
October,0.0,990641095.890461,16854187.334400488,1035331292.6512975,0.0 
November,0.0,958684931.506897,16310503.872000494,1002162938.4916715,0.0 
December,0.0,990641095.890461,16854187.334400488,1035723982.9432813,1258319.6526970564 
